Product Name,Brand,Category,Price,MRP,Image URL
Protein Shake,The Whole Truth,Health & Wellness,120,150,https://thewholetruthfoods.com/cdn/shop/files/Protein-Shake-Dark-Cocoa-Rich-Chocolate-pack-of-1.jpg?v=1708684742
Energy Bars (Pack of 6),The Whole Truth,Snacks,360,480,https://thewholetruthfoods.com/cdn/shop/products/Energy-Bar-Variety-Pack-Pack-of-6_1.jpg?v=1675765432
Plant Protein Isolate,The Whole Truth,Health & Wellness,1499,1899,https://thewholetruthfoods.com/cdn/shop/products/Plant-Protein-Isolate-Unflavoured-1kg.jpg?v=1675765432
Vitamin C Serum,Minimalist,Beauty,699,799,https://beminimalist.co/cdn/shop/products/VitaminC10_1.jpg?v=1625141011
Face Wash,Minimalist,Beauty,299,349,https://beminimalist.co/cdn/shop/products/FaceWashSalicylic_1.jpg?v=1625141011
Ashwagandha Gummies,What's Up Wellness,Health & Wellness,499,699,https://whatsupwellness.in/cdn/shop/products/Ashwagandha-Gummies-1.jpg?v=1646895741
Wild Amla Juice (1L),Kapiva,Health & Wellness,290,350,https://kapiva.in/cdn/shop/products/Kapiva-Amla-Juice-1L-1.jpg?v=1646895741
Biotin Gummies,What's Up Wellness,Beauty,599,799,https://whatsupwellness.in/cdn/shop/products/Biotin-Gummies-1.jpg?v=1646895741
Cold Brew Cans,Blue Tokai,Snacks,750,999,https://bluetokaicoffee.com/cdn/shop/products/Cold-Brew-Cans-Pack-of-6-1.jpg?v=1614332927
Oversized Classic T-Shirt,Snitch,Fashion,1158,1400,https://www.snitch.co.in/cdn/shop/products/Snitch_Oversized_Tshirt_1.jpg?v=1620061651
Titan Smart 3 Premium,Titan,Wearables,7995,11995,https://m.media-amazon.com/images/I/61mDeS0F9SL._SL1500_.jpg
Nothing Ear (2),Nothing,Electronics,9999,12999,https://m.media-amazon.com/images/I/51p0vD0hO0L._SL1500_.jpg
Whey Protein 1kg,Cult Fit,Health & Wellness,1899,2499,https://cultstore.com/cdn/shop/files/gE1Ld6ye4G1pQXi1sLy18Bcb.jpg?v=1726208456&width=5000
Cult Sport Sipper,Cult Fit,Health & Wellness,299,499,https://cultstore.com/cdn/shop/files/1_bd1b0fef-7d5a-446a-bcd1-21f71e91176d.jpg?v=1749034197&width=5000
Yoga Mat 6mm,Cult Fit,Health & Wellness,799,1299,https://cultstore.com/cdn/shop/files/805414.jpg?v=1759211509&width=5000
Hazelnut Cold Brew,Sleepy Owl,Snacks,150,200,https://m.media-amazon.com/images/I/61Hz4Upy7PL._SL1080_.jpg
French Vanilla Premium Coffee,Sleepy Owl,Snacks,350,400,https://m.media-amazon.com/images/I/61JtVDc9X9L._SL1080_.jpg
Dark Roast Filter Coffee,Sleepy Owl,Snacks,450,500,https://m.media-amazon.com/images/I/61N5qwVYh9L._SL1080_.jpg
Niacinamide Body Lotion,Minimalist,Beauty,299,399,https://images-static.nykaa.com/media/catalog/product/b/2/b21a46bMINIM00000037_2.jpg
Coffee Body Scrub,mCaffeine,Beauty,349,399,https://images-static.nykaa.com/media/catalog/product/1/1/1185643NYKMCF0000002_2.jpg
Coffee Face Wash,mCaffeine,Beauty,224,299,https://images-static.nykaa.com/media/catalog/product/8/b/8b5cf3fNYKMCF0000003_01.jpg
Coffee Under Eye Cream,mCaffeine,Beauty,299,399,https://images-static.nykaa.com/media/catalog/product/8/b/8b5cf3fMCAFF00000222_1.jpg
Onion Hair Oil,Mamaearth,Beauty,359,399,https://images.mamaearth.in/catalog/product/o/n/onion_hair_oil_200ml_fop_1200x1200.png?format=auto&height=600
Ubtan Face Wash,Mamaearth,Beauty,224,249,https://images.mamaearth.in/catalog/product/1/_/1_197_2.jpg?format=auto&height=600
Vitamin C Face Cream,Mamaearth,Beauty,224,249,https://images.mamaearth.in/catalog/product/v/i/vit-c-glow-cream1_1_1.jpg?format=auto&height=600
Apple Cider Vinegar Face Wash,Wow Skin Science,Beauty,299,399,https://media.buywow.in/public/1882f108-4335-40c3-87f4-ddbbb8646750?w=900&q=75&f=webp
Onion Black Seed Hair Oil,Wow Skin Science,Beauty,449,599,https://media.buywow.in/public/products/ecfb0477-ab9f-4f8d-8fe6-a65d254e4f4c/f728b720-5bd4-449b-9197-e8bc1589aaed.png?w=900&q=75&f=webp
Aloe Vera Gel,Wow Skin Science,Beauty,249,299,https://media.buywow.in/public/ed12a9b3-aa11-4d5b-97f1-440a8907e1df?w=900&q=75&f=webp
Multigrain Energy Bars (Pack of 6),Yoga Bar,Snacks,240,300,https://www.yogabars.in/cdn/shop/files/variety-pack-energy-bar-pack-of-6.jpg?v=1770964210&width=1100
Dark Chocolate Peanut Butter,Yoga Bar,Snacks,349,499,https://www.yogabars.in/cdn/shop/files/20g-choco-peanut-butter-protein-bar-pack-of-5.jpg?v=1770963213
Muesli Dark Chocolate,Yoga Bar,Snacks,299,350,https://www.yogabars.in/cdn/shop/files/dark-chocolate-cranberry-muesli-700g.jpg?v=1770964425&width=1100
Millet Pancake Mix,Slurrp Farm,Snacks,149,199,https://m.media-amazon.com/images/I/71XCQC1i+KL._SL1500_.jpg
Strawberry Crunch Macaron,Slurrp Farm,Snacks,99,150,https://slurrpfarm.com/cdn/shop/files/1_Strawberry-Cereal_D2C_1500x1500_ed0d95c2-8a78-4208-a28e-11a009940df9_576x.jpg?v=1752574186
Sprouted Ragi Powder,Slurrp Farm,Snacks,199,249,https://slurrpfarm.com/cdn/shop/files/1_Sprouted-Ragi-Cereal_D2C_1500x1500_9a1484c9-75e4-4481-b56d-71ddb087b063_576x.jpg?v=1752574172
ColorFit Pulse Smartwatch,Noise,Wearables,1999,4999,https://www.gonoise.com/cdn/shop/files/Artboard_1_result_0f35dacb-f9bb-4520-aa38-54032d7d9304-removebg-preview.png?v=1758450036
Buds VS102 Wireless Earbuds,Noise,Electronics,999,2999,https://www.gonoise.com/cdn/shop/files/1_3562ade0-33c5-4818-958d-5a72e0e3be63.webp?v=1722313458
ColorFit Pro 4,Noise,Wearables,2499,5999,https://www.gonoise.com/cdn/shop/files/1_c95e5561-4f66-413d-b143-42d31821e554.webp?v=1721392308
Airdopes 141,boAt,Electronics,1299,4490,https://www.boat-lifestyle.com/cdn/shop/files/AD141-FI_Black01_600x.png?v=1698391770
