Brand Name,Logo URL
The Whole Truth,https://cdn.brandfetch.io/idkxmpdN1J/theme/dark/logo.svg?c=1bxid64Mup7aczewSAYMX&t=1766413250169
Minimalist,https://cdn.brandfetch.io/id5L5sLAcT/w/909/h/909/theme/dark/icon.jpeg?c=1bxid64Mup7aczewSAYMX&t=1769795885798
What's Up Wellness,https://img-cdn.publive.online/fit-in/1280x960/filters:format(webp)/entrackr/media/post_attachments/wp-content/uploads/2023/01/Whats-up-wellness.jpg
Kapiva,https://cdn.brandfetch.io/idj8TE-87U/w/250/h/81/theme/dark/logo.png?c=1bxid64Mup7aczewSAYMX&t=1681896584868
Sleepy Owl,https://cdn.brandfetch.io/idnjtJxUFl/w/110/h/41/theme/dark/logo.png?c=1bxid64Mup7aczewSAYMX&t=1764590028750
Titan,https://cdn.brandfetch.io/idndU4XFdU/w/360/h/360/theme/dark/icon.jpeg?c=1bxid64Mup7aczewSAYMX&t=1764417126742
Nothing,https://cdn.brandfetch.io/idQN-ObASr/w/820/h/147/theme/dark/logo.png?c=1bxid64Mup7aczewSAYMX&t=1693623395859
Blue Tokai,https://cdn.brandfetch.io/idYfFhrNcZ/w/188/h/128/theme/dark/logo.png?c=1bxid64Mup7aczewSAYMX&t=1764425830557
Snitch,https://cdn.brandfetch.io/idBQ-DS7E5/w/1200/h/328/theme/dark/logo.png?c=1bxid64Mup7aczewSAYMX&t=1766820845373
Cult Fit,https://images.seeklogo.com/logo-png/45/1/cult-fit-logo-png_seeklogo-454846.png
mCaffeine,https://cdn.brandfetch.io/idsgxIssXx/w/1696/h/572/theme/dark/logo.png?c=1bxid64Mup7aczewSAYMX&t=1767785001675
Mamaearth,https://images.seeklogo.com/logo-png/48/1/mamaearth-logo-png_seeklogo-487672.png
Wow Skin Science,https://images.seeklogo.com/logo-png/46/1/wow-skin-science-logo-png_seeklogo-465591.png
Yoga Bar,https://www.mediainfoline.com/wp-content/uploads/2022/06/Yogabar-logo.jpg
Slurrp Farm,https://images.yourstory.com/cs/images/companies/Z55FeIHC400x400-1605082463894.jpg?fm=auto&ar=1%3A1&mode=fill&fill=solid&fill-color=fff&format=auto&w=256&q=85
Noise,https://images.seeklogo.com/logo-png/42/1/noise-logo-png_seeklogo-427911.png
boAt,https://images.seeklogo.com/logo-png/37/1/boat-logo-png_seeklogo-379185.png
